country,date,avg_temp_c,max_temp_c,min_temp_c,humidity,wind_kph,condition,chance_of_rain,will_it_rain,totalprecip_mm,uv
Guatemala,2024-03-30,20.9,30.0,14.1,67,9.7,Patchy rain possible,100,1,0.1,7.0
Guatemala,2024-03-31,21.3,29.9,15.1,68,12.2,Overcast,0,0,0.0,6.0
Guatemala,2024-04-01,21.4,29.6,16.0,71,15.5,Overcast,0,0,0.0,6.0
Guatemala,2024-04-02,21.5,29.3,16.3,68,21.3,Cloudy,0,0,0.0,6.0
Guatemala,2024-04-03,21.5,29.5,15.8,70,14.4,Heavy rain at times,100,1,2.8,6.0
Guatemala,2024-04-04,19.6,25.1,16.6,83,11.7,Moderate or heavy rain shower,100,1,10.8,6.0
Guatemala,2024-04-05,19.8,25.9,14.9,79,12.6,Moderate or heavy rain shower,100,1,13.1,6.0
Guatemala,2024-04-06,20.6,27.3,15.9,77,10.1,Patchy rain possible,100,1,0.7,6.0
Guatemala,2024-04-07,21.9,29.9,16.2,70,12.6,Heavy rain at times,100,1,3.3,6.0
Guatemala,2024-04-08,20.8,26.9,16.9,79,10.1,Moderate or heavy rain shower,100,1,11.75,6.0
Guatemala,2024-04-09,21.1,27.2,16.9,77,14.0,Overcast,0,0,0.0,6.0
Guatemala,2024-04-10,21.1,26.5,16.5,76,16.7,Overcast,0,0,0.0,6.0
Guatemala,2024-04-11,21.7,28.2,17.4,68,17.0,Patchy rain possible,100,1,0.8,6.0
Guatemala,2024-04-12,20.2,27.6,14.4,66,23.3,Sunny,0,0,0.0,7.0
Guatemala,2024-04-13,19.5,26.1,13.8,66,23.8,Partly cloudy,0,0,0.0,7.0
Guatemala,2024-04-14,21.0,29.0,15.0,62,19.4,Partly cloudy,0,0,0.0,7.0
Guatemala,2024-04-15,21.6,30.4,14.6,61,12.9,Sunny,0,0,0.0,8.0
Guatemala,2024-04-16,21.9,30.3,15.9,66,11.5,Overcast,0,0,0.0,7.0
Guatemala,2024-04-17,21.6,29.4,16.6,74,13.0,Moderate rain at times,100,1,2.0,6.0
Guatemala,2024-04-18,22.1,29.1,17.2,73,13.0,Moderate rain at times,100,1,1.4,6.0
Guatemala,2024-04-19,21.7,28.8,16.7,73,15.1,Moderate rain at times,100,1,1.9,6.0
Guatemala,2024-04-20,21.1,27.7,16.8,75,13.7,Heavy rain at times,100,1,2.2,6.0
Guatemala,2024-04-21,21.2,27.6,16.8,74,14.4,Heavy rain at times,100,1,4.54,6.0
Guatemala,2024-04-22,21.8,28.3,17.1,68,14.0,Patchy rain possible,100,1,0.4,6.0
Guatemala,2024-04-23,21.4,28.8,15.5,55,15.6,Cloudy,0,0,0.0,6.0
Guatemala,2024-04-24,21.7,29.5,15.2,56,11.9,Moderate rain at times,100,1,1.6,6.0
Guatemala,2024-04-25,21.4,28.7,15.4,61,15.8,Overcast,0,0,0.0,6.0
Guatemala,2024-04-26,21.3,28.7,15.2,62,13.3,Patchy rain possible,100,1,1.1,6.0
Guatemala,2024-04-27,21.0,27.2,16.8,74,15.9,Moderate rain at times,100,1,4.0,6.0
Guatemala,2024-04-28,21.1,26.6,17.7,77,14.8,Moderate rain at times,100,1,3.8,6.0
Guatemala,2024-04-29,21.0,26.6,17.2,78,13.3,Moderate rain at times,100,1,5.62,6.0
Guatemala,2024-04-30,21.1,26.2,17.5,78,8.9,Moderate or heavy rain shower,100,1,5.2,6.0
Guatemala,2024-05-01,21.8,28.0,17.0,71,6.5,Moderate or heavy rain shower,100,1,4.2,6.0
